"Group","Gender","Age","Wind.Direction","Height","Distance","Angle","Offset","Score.1","Score.2"
"P","M",66,"E",47.0770931914449,87.2631093949648,57.4794956669211,34,35,57
"P","M",66,"W",60.7750153979287,72.3316088576622,66.3159053958952,45,22,42
"V","F",57,"N",46.9575326098129,81.7290784243843,61.3223292306066,40,61,63
"N","F",81,"N",46.9902794063091,56.7907496692637,17.3380223661661,77,53,53
"V","F",33,"E",56.8625405840576,74.2020645110815,24.5804331637919,37,75,46
"P","F",83,"N",36.1658303570002,90.7751680303521,35.7535607181489,26,72,1
"V","F",19,"W",38.7766452208161,94.518473001423,41.7395491153002,37,66,65
"N","M",33,"E",50.3648042110726,93.09962124929,51.245604455471,37,31,46
"V","M",31,"W",29.2879388928413,43.9044602455296,76.9829766452312,69,68,59
"E","F",25,"N",31.9236161159351,90.7891673611463,54.2312866263092,54,57,68
"V","M",61,"N",64.7175256637856,93.5777076125093,50.426402837038,38,82,83
"E","M",83,"N",45.5205784747377,42.9142828957086,12.7089123427868,45,34,26
"E","M",77,"E",59.2722306251526,71.2728147579026,66.8069645948708,55,72,61
"P","F",51,"S",64.9124306449667,67.0011177662207,68.6849666386843,20,52,82
"P","F",75,"E",29.046928146854,94.702656063864,42.3643067851663,24,30,60
"N","F",67,"E",58.9132484057918,19.0470080991669,83.987944778055,71,35,57
"E","M",29,"N",29.8808262422681,17.1667516168596,84.4672645069659,55,37,59
"P","M",82,"W",56.7029270865023,85.2771214750394,58.9806140959263,42,46,34
"P","F",63,"N",35.3102826941758,60.9281893532992,18.8765198923647,16,45,13
"V","F",21,"E",47.7059630369768,48.8783686173731,75.3880342841148,41,70,42
"E","F",102,"N",56.1497226171196,77.9727781625653,63.4809208847582,56,67,61
"E","F",80,"S",154.588670223951,85.847379908602,58.566591385752,56,37,92
"V","F",48,"E",40.6241676714271,84.456858162606,59.5555088110268,38,69,51
"E","F",29,"W",35.874069198966,31.7195254485226,9.41054241731763,66,64,61
"V","M",84,"E",33.6132613299415,94.9749448507921,46.2251950800419,30,79,63
"E","M",68,"W",61.2354828426614,17.5982263183032,5.64221203327179,54,18,41
"N","F",57,"N",63.5133108114824,87.3966538913518,57.3720217496157,78,49,50
"E","F",66,"W",37.8634059410542,50.3194934258953,15.0899660401046,65,73,42
"V","F",41,"S",60.1341296331957,64.8397065532918,20.4194005578756,39,75,57
"N","F",64,"W",41.7416702099144,58.2962080040142,72.1122820861638,76,66,43
"V","M",108,"S",49.1237636683509,75.9833281251893,64.5277606882155,41,70,9
"N","F",73,"S",38.7725371662527,94.4707522474232,48.4036678820848,73,63,24
"N","M",102,"W",156.579284320585,86.8919534916718,57.7734462916851,53,62,24
"V","F",26,"S",41.4242040682584,84.2690778800235,59.6839518658817,36,75,84
"E","F",89,"E",47.9564912999049,82.891004798693,29.4057733751833,64,33,65
"P","F",44,"W",34.1028270963579,22.4761089659129,6.90173467621207,19,61,53
"N","F",74,"N",33.0847773812711,59.6696117220396,71.6008978337049,74,29,46
"P","F",106,"S",63.1530051399022,82.7958000087149,60.6551588885486,18,43,54
"E","F",84,"E",63.3519763164222,95.0477206576268,44.7864892333746,66,29,63
"N","M",76,"N",35.9517575725913,47.595214697808,14.1926030628383,56,67,22
"E","M",63,"N",62.9320119796321,84.2108052729302,59.7235829383135,33,35,8
"E","M",28,"W",42.8993521975353,75.7452984618933,25.3507244214416,55,55,61
"N","M",76,"E",39.9875023541972,36.5039094315726,79.2187348008156,62,43,60
"N","F",45,"S",34.5234113084152,83.4872114161561,29.7929039038718,77,64,68
"P","M",89,"W",52.5830745249987,90.8806018150836,35.8682989701629,38,54,31
"E","M",32,"W",47.7993518551812,87.7298858798404,32.9003189131618,39,16,59
"N","M",60,"N",37.1179040418938,88.6100199705667,33.6510088294744,64,43,76
"V","M",98,"W",33.0937585905194,78.7034325770758,63.0812430009246,69,77,26
"E","F",89,"E",38.1143965581432,94.2726854759538,41.0571215488017,62,63,65
"P","M",72,"S",23,80.376716727968,62.1308396011591,52,68,85
"N","M",75,"E",55.164812348783,87.8795729418722,33.0246694758534,55,23,60
"P","M",108,"S",39,93.2719802126075,50.96325378865,40,29,84
"V","F",76,"W",63.521321262233,69.6106346364284,67.5563141331077,38,85,37
"P","F",81,"S",32.4591410560533,27.5775861768495,81.7348373681307,19,27,0
"V","M",58,"S",44.7905553942546,28.9799002677412,81.3510934449732,65,62,73
"E","M",24,"E",37.3672332316637,89.5289099836858,55.5081777833402,32,48,43
"P","F",84,"W",32.496504127048,38.6626048956395,11.4180420152843,27,33,33
"N","F",41,"W",43.6912580141798,73.0366865804246,65.9825229272246,73,28,55
"N","M",60,"S",57.0413585975766,84.4378439772598,30.4314338229597,53,65,43
"V","F",46,"W",54.3822311563417,54.8223203396739,16.6353460587561,34,65,52
