@relation dataset-fixedxlsx

@attribute Case_no numeric
@attribute checking_status {0<=X<200,<0,'no checking',>=200}
@attribute credit_history {'existing paid','delayed previously','critical/other existing credit','no credits/all paid','all paid'}
@attribute purpose {radio/tv,furniture/equipment,'new car',business,'used car',education,'domestic appliance',repairs,retraining,other}
@attribute credit_amount numeric
@attribute saving_status {<100,500<=X<1000,'no known savings',100<=X<500,>=1000}
@attribute employment {1<=X<4,4<=X<7,>=7,<1,unemployed}
@attribute personal_status {'female div/dep/mar','male single','male mar/wid','male div/sep'}
@attribute age numeric
@attribute job {skilled}
@attribute class {bad,good}

@data
2,0<=X<200,'existing paid',radio/tv,5951,<100,1<=X<4,'female div/dep/mar',22,skilled,bad
4,<0,'existing paid',furniture/equipment,7882,<100,4<=X<7,'male single',45,skilled,good
5,<0,'delayed previously','new car',4870,<100,1<=X<4,'male single',53,skilled,bad
7,'no checking','existing paid',furniture/equipment,2835,500<=X<1000,>=7,'male single',53,skilled,good
11,0<=X<200,'existing paid','new car',1295,<100,<1,'female div/dep/mar',25,skilled,bad
12,<0,'existing paid',business,4308,<100,<1,'female div/dep/mar',24,skilled,bad
13,0<=X<200,'existing paid',radio/tv,1567,<100,1<=X<4,'female div/dep/mar',22,skilled,good
15,<0,'existing paid','new car',1403,<100,1<=X<4,'female div/dep/mar',28,skilled,good
17,'no checking','critical/other existing credit',radio/tv,2424,'no known savings',>=7,'male single',53,skilled,good
18,<0,'no credits/all paid',business,8072,'no known savings',<1,'male single',25,skilled,good
20,'no checking','existing paid',radio/tv,3430,500<=X<1000,>=7,'male single',31,skilled,good
21,'no checking','critical/other existing credit','new car',2134,<100,1<=X<4,'male single',48,skilled,good
22,<0,'existing paid',radio/tv,2647,500<=X<1000,1<=X<4,'male single',44,skilled,good
24,0<=X<200,'critical/other existing credit','used car',1804,100<=X<500,<1,'male single',44,skilled,good
25,'no checking','critical/other existing credit',furniture/equipment,2069,'no known savings',1<=X<4,'male mar/wid',26,skilled,good
28,>=200,'all paid',radio/tv,409,>=1000,1<=X<4,'female div/dep/mar',42,skilled,good
29,0<=X<200,'existing paid',radio/tv,2415,<100,1<=X<4,'male single',34,skilled,good
30,<0,'delayed previously',business,6836,<100,>=7,'male single',63,skilled,bad
31,0<=X<200,'existing paid',business,1913,>=1000,<1,'male mar/wid',36,skilled,good
32,<0,'existing paid',furniture/equipment,4020,<100,1<=X<4,'male single',27,skilled,good
33,0<=X<200,'existing paid','new car',5866,100<=X<500,1<=X<4,'male single',30,skilled,good
37,'no checking','critical/other existing credit',education,6110,<100,1<=X<4,'male single',31,skilled,good
38,>=200,'existing paid',radio/tv,2100,<100,1<=X<4,'male single',37,skilled,bad
39,>=200,'existing paid','domestic appliance',1225,<100,1<=X<4,'male single',37,skilled,good
40,0<=X<200,'existing paid',radio/tv,458,<100,1<=X<4,'male single',24,skilled,good
42,0<=X<200,'existing paid',radio/tv,1158,500<=X<1000,1<=X<4,'male div/sep',26,skilled,good
44,<0,'critical/other existing credit','used car',6187,100<=X<500,4<=X<7,'male mar/wid',24,skilled,good
47,'no checking','existing paid',radio/tv,2299,500<=X<1000,>=7,'male single',39,skilled,good
50,'no checking','existing paid',radio/tv,2073,100<=X<500,1<=X<4,'female div/dep/mar',28,skilled,good
53,'no checking','existing paid',radio/tv,1262,<100,1<=X<4,'male single',25,skilled,good
54,'no checking','existing paid','used car',3378,'no known savings',1<=X<4,'male single',1,skilled,good
55,0<=X<200,'delayed previously','new car',2225,<100,>=7,'male single',57,skilled,bad
58,'no checking','critical/other existing credit',radio/tv,9566,<100,1<=X<4,'female div/dep/mar',31,skilled,good
61,0<=X<200,'existing paid',business,1391,<100,1<=X<4,'male mar/wid',27,skilled,good
62,0<=X<200,'critical/other existing credit',radio/tv,1537,'no known savings',>=7,'male single',50,skilled,good
64,0<=X<200,'no credits/all paid',business,14421,<100,1<=X<4,'male single',25,skilled,bad
65,'no checking','existing paid',radio/tv,3181,<100,<1,'female div/dep/mar',26,skilled,good
66,'no checking','existing paid',repairs,5190,'no known savings',>=7,'male single',48,skilled,good
67,'no checking','existing paid',radio/tv,2171,<100,<1,'female div/dep/mar',29,skilled,good
68,0<=X<200,'existing paid','new car',1007,>=1000,1<=X<4,'male mar/wid',1,skilled,good
69,'no checking','existing paid',education,1819,<100,1<=X<4,'male single',37,skilled,bad
70,'no checking','existing paid',radio/tv,2394,'no known savings',1<=X<4,'female div/dep/mar',25,skilled,good
71,'no checking','existing paid','used car',8133,<100,1<=X<4,'female div/dep/mar',30,skilled,good
77,<0,'existing paid',radio/tv,3965,<100,<1,'male single',34,skilled,bad
78,0<=X<200,'delayed previously',radio/tv,4771,<100,4<=X<7,'male single',51,skilled,good
80,0<=X<200,'existing paid',furniture/equipment,3832,<100,<1,'male mar/wid',1,skilled,good
81,'no checking','existing paid',radio/tv,5943,'no known savings',<1,'female div/dep/mar',44,skilled,bad
82,'no checking','existing paid',radio/tv,1213,500<=X<1000,>=7,'male single',47,skilled,good
87,0<=X<200,'critical/other existing credit',furniture/equipment,1295,<100,<1,'female div/dep/mar',27,skilled,good
88,0<=X<200,'existing paid',education,12612,100<=X<500,1<=X<4,'male single',47,skilled,bad
90,<0,'no credits/all paid',repairs,1108,<100,4<=X<7,'male single',28,skilled,bad
91,'no checking','critical/other existing credit',radio/tv,618,<100,>=7,'male single',56,skilled,good
92,<0,'critical/other existing credit','used car',1409,<100,>=7,'male single',54,skilled,good
94,>=200,'critical/other existing credit',furniture/equipment,3617,'no known savings',>=7,'male single',20,skilled,good
95,0<=X<200,'existing paid','new car',1318,>=1000,>=7,'male single',54,skilled,good
96,0<=X<200,'no credits/all paid',business,15945,<100,<1,'male single',58,skilled,bad
97,'no checking','critical/other existing credit',education,2012,'no known savings',4<=X<7,'female div/dep/mar',61,skilled,good
98,0<=X<200,'existing paid',business,2622,100<=X<500,1<=X<4,'male single',34,skilled,good
99,0<=X<200,'critical/other existing credit',radio/tv,2337,<100,>=7,'male single',36,skilled,good
102,0<=X<200,'existing paid',radio/tv,2323,<100,4<=X<7,'male single',24,skilled,good
103,'no checking','delayed previously',radio/tv,932,<100,1<=X<4,'female div/dep/mar',24,skilled,good
104,0<=X<200,'critical/other existing credit',furniture/equipment,1919,<100,4<=X<7,'male single',35,skilled,good
105,'no checking','existing paid','used car',2445,'no known savings',<1,'male mar/wid',26,skilled,good
108,0<=X<200,'existing paid','new car',6078,<100,4<=X<7,'male single',32,skilled,good
109,<0,'existing paid',furniture/equipment,7721,'no known savings',<1,'female div/dep/mar',30,skilled,good
110,0<=X<200,'existing paid',business,1410,500<=X<1000,>=7,'male mar/wid',35,skilled,good
111,0<=X<200,'delayed previously',business,1449,100<=X<500,>=7,'male div/sep',31,skilled,good
112,>=200,'existing paid',education,392,<100,<1,'female div/dep/mar',23,skilled,good
114,'no checking','critical/other existing credit','new car',7855,<100,1<=X<4,'female div/dep/mar',25,skilled,bad
115,<0,'existing paid',radio/tv,1680,500<=X<1000,>=7,'male mar/wid',35,skilled,good
116,'no checking','critical/other existing credit',radio/tv,3578,'no known savings',>=7,'male single',47,skilled,good
118,<0,'critical/other existing credit',furniture/equipment,2132,'no known savings',<1,'female div/dep/mar',27,skilled,good
119,<0,'critical/other existing credit',furniture/equipment,4281,500<=X<1000,1<=X<4,'female div/dep/mar',23,skilled,bad
121,<0,'existing paid',radio/tv,1835,<100,1<=X<4,'female div/dep/mar',25,skilled,bad
124,>=200,'critical/other existing credit','new car',781,<100,>=7,'male single',63,skilled,good
125,0<=X<200,'existing paid',furniture/equipment,1924,'no known savings',<1,'female div/dep/mar',27,skilled,bad
126,<0,'critical/other existing credit','new car',2121,<100,1<=X<4,'male single',30,skilled,good
128,0<=X<200,'existing paid',repairs,639,<100,1<=X<4,'male single',30,skilled,bad
130,<0,'critical/other existing credit','new car',3499,<100,1<=X<4,'female div/dep/mar',29,skilled,bad
131,0<=X<200,'existing paid','new car',8487,'no known savings',4<=X<7,'female div/dep/mar',24,skilled,good
132,<0,'delayed previously',education,6887,<100,1<=X<4,'male single',29,skilled,bad
134,'no checking','existing paid',furniture/equipment,1984,<100,1<=X<4,'male single',47,skilled,good
135,'no checking','existing paid',radio/tv,10144,100<=X<500,4<=X<7,'female div/dep/mar',21,skilled,good
136,'no checking','critical/other existing credit',radio/tv,1240,'no known savings',>=7,'female div/dep/mar',38,skilled,good
137,'no checking','delayed previously','used car',8613,>=1000,1<=X<4,'male single',27,skilled,good
139,0<=X<200,'critical/other existing credit',radio/tv,2728,'no known savings',4<=X<7,'male single',35,skilled,good
144,<0,'existing paid',furniture/equipment,2462,<100,1<=X<4,'male single',22,skilled,bad
145,'no checking','critical/other existing credit',furniture/equipment,2288,<100,<1,'female div/dep/mar',23,skilled,good
146,0<=X<200,'all paid',business,3566,100<=X<500,4<=X<7,'male single',30,skilled,good
147,<0,'critical/other existing credit','new car',860,<100,>=7,'female div/dep/mar',39,skilled,good
148,'no checking','critical/other existing credit','new car',682,100<=X<500,4<=X<7,'female div/dep/mar',51,skilled,good
149,<0,'critical/other existing credit',furniture/equipment,5371,<100,1<=X<4,'male single',28,skilled,good
150,'no checking','critical/other existing credit',radio/tv,1582,>=1000,>=7,'male single',46,skilled,good
151,'no checking','existing paid',radio/tv,1346,100<=X<500,>=7,'male single',42,skilled,good
152,'no checking','existing paid',radio/tv,1924,<100,1<=X<4,'male single',38,skilled,good
153,>=200,'existing paid',radio/tv,5848,<100,1<=X<4,'male single',24,skilled,good
154,0<=X<200,'critical/other existing credit','used car',7758,>=1000,>=7,'female div/dep/mar',29,skilled,good
156,<0,'existing paid',furniture/equipment,1282,<100,1<=X<4,'female div/dep/mar',20,skilled,bad
157,<0,'critical/other existing credit',repairs,1288,100<=X<500,>=7,'male single',48,skilled,good
159,0<=X<200,'existing paid','new car',3512,100<=X<500,4<=X<7,'male single',38,skilled,good
161,'no checking','critical/other existing credit',radio/tv,2872,100<=X<500,>=7,'male single',36,skilled,good
162,'no checking','critical/other existing credit','new car',1055,<100,<1,'female div/dep/mar',30,skilled,good
163,'no checking','existing paid','domestic appliance',1262,500<=X<1000,4<=X<7,'male single',36,skilled,good
165,'no checking','existing paid','new car',909,500<=X<1000,>=7,'male single',36,skilled,good
166,'no checking','existing paid',furniture/equipment,2978,500<=X<1000,1<=X<4,'male single',32,skilled,good
167,<0,'existing paid',furniture/equipment,1131,<100,unemployed,'female div/dep/mar',33,skilled,bad
168,0<=X<200,'existing paid',furniture/equipment,1577,>=1000,<1,'female div/dep/mar',20,skilled,good
169,'no checking','existing paid',furniture/equipment,3972,<100,4<=X<7,'female div/dep/mar',25,skilled,good
170,0<=X<200,'critical/other existing credit',business,1935,<100,>=7,'male div/sep',31,skilled,bad
171,<0,'no credits/all paid','new car',950,<100,>=7,'male single',33,skilled,bad
172,'no checking','existing paid',furniture/equipment,763,<100,1<=X<4,'female div/dep/mar',26,skilled,good
174,0<=X<200,'existing paid',radio/tv,1414,<100,1<=X<4,'male single',1,skilled,good
175,<0,'delayed previously',education,3414,<100,<1,'male single',26,skilled,bad
177,<0,'existing paid',furniture/equipment,2577,<100,1<=X<4,'male div/sep',42,skilled,good
178,<0,'critical/other existing credit',radio/tv,338,500<=X<1000,>=7,'male single',52,skilled,good
180,<0,'critical/other existing credit','new car',571,<100,>=7,'male single',65,skilled,good
181,'no checking','delayed previously',business,9572,<100,<1,'male div/sep',28,skilled,bad
184,'no checking','critical/other existing credit',furniture/equipment,3777,>=1000,1<=X<4,'male single',50,skilled,good
185,0<=X<200,'critical/other existing credit','new car',884,<100,>=7,'male single',36,skilled,bad
186,'no checking','critical/other existing credit',radio/tv,1360,<100,1<=X<4,'male single',31,skilled,good
189,<0,'existing paid',radio/tv,674,100<=X<500,4<=X<7,'male mar/wid',20,skilled,bad
190,0<=X<200,'no credits/all paid',furniture/equipment,3244,<100,1<=X<4,'female div/dep/mar',33,skilled,good
193,0<=X<200,'existing paid',business,3915,<100,1<=X<4,'male single',36,skilled,bad
194,'no checking','existing paid',radio/tv,2108,<100,4<=X<7,'male mar/wid',29,skilled,good
195,0<=X<200,'existing paid',radio/tv,3031,100<=X<500,1<=X<4,'male single',21,skilled,bad
197,'no checking','critical/other existing credit',radio/tv,1382,<100,1<=X<4,'female div/dep/mar',28,skilled,good
198,0<=X<200,'existing paid',furniture/equipment,951,100<=X<500,<1,'female div/dep/mar',27,skilled,bad
199,0<=X<200,'existing paid','used car',2760,'no known savings',>=7,'male single',36,skilled,good
201,'no checking','critical/other existing credit',education,936,500<=X<1000,>=7,'male single',52,skilled,good
203,'no checking','delayed previously',business,5117,<100,4<=X<7,'male single',26,skilled,good
204,<0,'existing paid',retraining,902,<100,4<=X<7,'male mar/wid',21,skilled,bad
207,'no checking','critical/other existing credit',furniture/equipment,1935,<100,>=7,'male single',43,skilled,good
208,0<=X<200,'critical/other existing credit','domestic appliance',1424,<100,4<=X<7,'male single',26,skilled,good
210,'no checking','existing paid','used car',1413,>=1000,4<=X<7,'male single',55,skilled,good
211,'no checking','critical/other existing credit',radio/tv,3074,'no known savings',1<=X<4,'male single',33,skilled,good
213,<0,'no credits/all paid',business,5293,<100,unemployed,'male single',50,skilled,bad
215,'no checking','critical/other existing credit',radio/tv,3342,'no known savings',>=7,'male single',51,skilled,good
217,<0,'no credits/all paid',business,3104,<100,4<=X<7,'male single',31,skilled,good
218,>=200,'existing paid',radio/tv,3913,<100,1<=X<4,'male single',23,skilled,good
220,'no checking','existing paid','new car',1364,<100,1<=X<4,'female div/dep/mar',64,skilled,good
222,<0,'existing paid',education,1200,'no known savings',1<=X<4,'female div/dep/mar',23,skilled,good
223,'no checking','existing paid',radio/tv,707,<100,1<=X<4,'male single',30,skilled,good
224,'no checking','delayed previously',business,2978,'no known savings',1<=X<4,'male single',32,skilled,good
225,'no checking','existing paid','used car',4657,<100,1<=X<4,'male single',30,skilled,good
226,'no checking','no credits/all paid',repairs,2613,<100,1<=X<4,'male single',27,skilled,good
227,0<=X<200,'existing paid',radio/tv,10961,>=1000,4<=X<7,'male single',27,skilled,bad
229,'no checking','existing paid',radio/tv,1478,<100,4<=X<7,'male single',22,skilled,bad
230,<0,'existing paid',furniture/equipment,3149,<100,<1,'male single',22,skilled,good
231,>=200,'existing paid',radio/tv,4210,<100,1<=X<4,'male single',26,skilled,bad
233,'no checking','existing paid',radio/tv,2141,100<=X<500,4<=X<7,'male single',1,skilled,good
239,'no checking','critical/other existing credit',radio/tv,1291,<100,1<=X<4,'female div/dep/mar',35,skilled,good
240,<0,'existing paid',radio/tv,2522,<100,>=7,'male single',39,skilled,good
241,<0,'existing paid','new car',915,'no known savings',>=7,'female div/dep/mar',29,skilled,bad
242,'no checking','existing paid',radio/tv,1595,<100,4<=X<7,'male single',51,skilled,good
243,<0,'no credits/all paid','used car',4605,<100,>=7,'male single',24,skilled,bad
244,'no checking','critical/other existing credit',business,1185,<100,1<=X<4,'female div/dep/mar',27,skilled,good
246,'no checking','existing paid',business,1258,<100,4<=X<7,'male single',25,skilled,good
247,'no checking','critical/other existing credit',radio/tv,717,<100,>=7,'male single',52,skilled,good
248,'no checking','no credits/all paid','new car',1204,100<=X<500,1<=X<4,'male single',35,skilled,good
