@relation all-data-nominal-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last

@attribute checking_status {<0,0<=X<200,'no checking',>=200}
@attribute credit_history {'critical/other existing credit','existing paid','delayed previously','no credits/all paid','all paid'}
@attribute purpose {radio/tv,education,furniture/equipment,'new car','used car',business,'domestic appliance',repairs,other,retraining}
@attribute credit_amount {0<=X<2000,4000<=X<6000,2000<=X<4000,6000<=X<8000,8000<=X<10000,12000<=X<14000,14000<=X<16000,10000<=X<12000,16000<=X<19000}
@attribute saving_status {'no known savings',<100,500<=X<1000,>=1000,100<=X<500}
@attribute employment {>=7,1<=X<4,4<=X<7,unemployed,<1}
@attribute personal_status {'male single','female div/sep/mar','male div/sep','male mar/wid'}
@attribute age {59<=X<69,19<=X<29,49<=X<59,39<=X<49,29<=X<39,69<=X<79}
@attribute job {skilled,'unskilled resident','high qualif/self emp/mgmt','unemp/unskilled non res'}
@attribute class {good,bad}

@data
<0,'critical/other existing credit',radio/tv,0<=X<2000,'no known savings',>=7,'male single',59<=X<69,skilled,good
0<=X<200,'existing paid',radio/tv,4000<=X<6000,<100,1<=X<4,'female div/sep/mar',19<=X<29,skilled,bad
'no checking','critical/other existing credit',education,2000<=X<4000,<100,4<=X<7,'male single',49<=X<59,'unskilled resident',good
<0,'existing paid',furniture/equipment,6000<=X<8000,<100,4<=X<7,'male single',39<=X<49,skilled,good
<0,'delayed previously','new car',4000<=X<6000,<100,1<=X<4,'male single',49<=X<59,skilled,bad
'no checking','existing paid',education,8000<=X<10000,'no known savings',1<=X<4,'male single',29<=X<39,'unskilled resident',good
'no checking','existing paid',furniture/equipment,2000<=X<4000,500<=X<1000,>=7,'male single',49<=X<59,skilled,good
0<=X<200,'existing paid','used car',6000<=X<8000,<100,1<=X<4,'male single',29<=X<39,'high qualif/self emp/mgmt',good
'no checking','existing paid',radio/tv,2000<=X<4000,>=1000,4<=X<7,'male div/sep',59<=X<69,'unskilled resident',good
0<=X<200,'critical/other existing credit','new car',4000<=X<6000,<100,unemployed,'male mar/wid',19<=X<29,'high qualif/self emp/mgmt',bad
0<=X<200,'existing paid','new car',0<=X<2000,<100,<1,'female div/sep/mar',19<=X<29,skilled,bad
<0,'existing paid',business,4000<=X<6000,<100,<1,'female div/sep/mar',19<=X<29,skilled,bad
0<=X<200,'existing paid',radio/tv,0<=X<2000,<100,1<=X<4,'female div/sep/mar',19<=X<29,skilled,good
<0,'critical/other existing credit','new car',0<=X<2000,<100,>=7,'male single',59<=X<69,'unskilled resident',bad
<0,'existing paid','new car',0<=X<2000,<100,1<=X<4,'female div/sep/mar',19<=X<29,skilled,good
<0,'existing paid',radio/tv,0<=X<2000,100<=X<500,1<=X<4,'female div/sep/mar',29<=X<39,'unskilled resident',bad
'no checking','critical/other existing credit',radio/tv,2000<=X<4000,'no known savings',>=7,'male single',49<=X<59,skilled,good
<0,'no credits/all paid',business,8000<=X<10000,'no known savings',<1,'male single',19<=X<29,skilled,good
0<=X<200,'existing paid','used car',12000<=X<14000,<100,>=7,'female div/sep/mar',39<=X<49,'high qualif/self emp/mgmt',bad
'no checking','existing paid',radio/tv,2000<=X<4000,500<=X<1000,>=7,'male single',29<=X<39,skilled,good
'no checking','critical/other existing credit','new car',2000<=X<4000,<100,1<=X<4,'male single',39<=X<49,skilled,good
<0,'existing paid',radio/tv,2000<=X<4000,500<=X<1000,1<=X<4,'male single',39<=X<49,skilled,good
<0,'critical/other existing credit','new car',2000<=X<4000,<100,<1,'male single',39<=X<49,'unskilled resident',good
0<=X<200,'critical/other existing credit','used car',0<=X<2000,100<=X<500,<1,'male single',39<=X<49,skilled,good
'no checking','critical/other existing credit',furniture/equipment,2000<=X<4000,'no known savings',1<=X<4,'male mar/wid',19<=X<29,skilled,good
<0,'existing paid',furniture/equipment,0<=X<2000,<100,1<=X<4,'male single',19<=X<29,'unskilled resident',good
'no checking','no credits/all paid',radio/tv,0<=X<2000,<100,>=7,'male mar/wid',39<=X<49,'unskilled resident',good
>=200,'all paid',radio/tv,0<=X<2000,>=1000,1<=X<4,'female div/sep/mar',39<=X<49,skilled,good
0<=X<200,'existing paid',radio/tv,2000<=X<4000,<100,1<=X<4,'male single',29<=X<39,skilled,good
<0,'delayed previously',business,6000<=X<8000,<100,>=7,'male single',59<=X<69,skilled,bad
0<=X<200,'existing paid',business,0<=X<2000,>=1000,<1,'male mar/wid',29<=X<39,skilled,good
<0,'existing paid',furniture/equipment,4000<=X<6000,<100,1<=X<4,'male single',19<=X<29,skilled,good
0<=X<200,'existing paid','new car',4000<=X<6000,100<=X<500,1<=X<4,'male single',29<=X<39,skilled,good
'no checking','critical/other existing credit',business,0<=X<2000,'no known savings',>=7,'male single',49<=X<59,'unskilled resident',good
>=200,'existing paid',furniture/equipment,0<=X<2000,<100,<1,'female div/sep/mar',29<=X<39,'high qualif/self emp/mgmt',good
0<=X<200,'critical/other existing credit',radio/tv,4000<=X<6000,<100,<1,'male single',19<=X<29,'unskilled resident',bad
'no checking','critical/other existing credit',education,6000<=X<8000,<100,1<=X<4,'male single',29<=X<39,skilled,good
>=200,'existing paid',radio/tv,2000<=X<4000,<100,1<=X<4,'male single',29<=X<39,skilled,bad
>=200,'existing paid','domestic appliance',0<=X<2000,<100,1<=X<4,'male single',29<=X<39,skilled,good
0<=X<200,'existing paid',radio/tv,0<=X<2000,<100,1<=X<4,'male single',19<=X<29,skilled,good
'no checking','existing paid',radio/tv,2000<=X<4000,500<=X<1000,>=7,'male single',29<=X<39,'high qualif/self emp/mgmt',good
0<=X<200,'existing paid',radio/tv,0<=X<2000,500<=X<1000,1<=X<4,'male div/sep',19<=X<29,skilled,good
0<=X<200,'delayed previously',repairs,6000<=X<8000,<100,1<=X<4,'male single',39<=X<49,'unskilled resident',good
<0,'critical/other existing credit','used car',6000<=X<8000,100<=X<500,4<=X<7,'male mar/wid',19<=X<29,skilled,good
<0,'critical/other existing credit','used car',6000<=X<8000,<100,>=7,'female div/sep/mar',49<=X<59,'unskilled resident',bad
'no checking','critical/other existing credit','new car',0<=X<2000,<100,<1,'female div/sep/mar',29<=X<39,'high qualif/self emp/mgmt',good
'no checking','existing paid',radio/tv,2000<=X<4000,500<=X<1000,>=7,'male single',39<=X<49,skilled,good
<0,'existing paid','used car',0<=X<2000,500<=X<1000,unemployed,'female div/sep/mar',19<=X<29,'unemp/unskilled non res',good
'no checking','critical/other existing credit','new car',6000<=X<8000,<100,1<=X<4,'male single',39<=X<49,'unskilled resident',good
'no checking','existing paid',radio/tv,2000<=X<4000,100<=X<500,1<=X<4,'female div/sep/mar',19<=X<29,skilled,good
0<=X<200,'delayed previously',furniture/equipment,2000<=X<4000,'no known savings',<1,'male single',29<=X<39,'unskilled resident',good
0<=X<200,'delayed previously','used car',4000<=X<6000,<100,>=7,'male single',29<=X<39,'high qualif/self emp/mgmt',good
'no checking','existing paid',radio/tv,0<=X<2000,<100,1<=X<4,'male single',19<=X<29,skilled,good
'no checking','existing paid','used car',2000<=X<4000,'no known savings',1<=X<4,'male single',19<=X<29,skilled,good
0<=X<200,'delayed previously','new car',2000<=X<4000,<100,>=7,'male single',49<=X<59,skilled,bad
'no checking','all paid','new car',0<=X<2000,'no known savings',1<=X<4,'male single',19<=X<29,'unskilled resident',good
0<=X<200,'existing paid',radio/tv,6000<=X<8000,'no known savings',unemployed,'male single',49<=X<59,'high qualif/self emp/mgmt',bad
'no checking','critical/other existing credit',radio/tv,8000<=X<10000,<100,1<=X<4,'female div/sep/mar',29<=X<39,skilled,good
>=200,'existing paid','new car',0<=X<2000,<100,>=7,'female div/sep/mar',19<=X<29,'high qualif/self emp/mgmt',good
<0,'critical/other existing credit',furniture/equipment,6000<=X<8000,<100,<1,'female div/sep/mar',19<=X<29,'unskilled resident',bad
0<=X<200,'existing paid',business,0<=X<2000,<100,1<=X<4,'male mar/wid',19<=X<29,skilled,good
0<=X<200,'critical/other existing credit',radio/tv,0<=X<2000,'no known savings',>=7,'male single',49<=X<59,skilled,good
0<=X<200,'no credits/all paid',business,0<=X<2000,<100,>=7,'male single',59<=X<69,'high qualif/self emp/mgmt',bad
0<=X<200,'no credits/all paid',business,14000<=X<16000,<100,1<=X<4,'male single',19<=X<29,skilled,bad
'no checking','existing paid',radio/tv,2000<=X<4000,<100,<1,'female div/sep/mar',19<=X<29,skilled,good
'no checking','existing paid',repairs,4000<=X<6000,'no known savings',>=7,'male single',39<=X<49,skilled,good
'no checking','existing paid',radio/tv,2000<=X<4000,<100,<1,'female div/sep/mar',29<=X<39,skilled,good
0<=X<200,'existing paid','new car',0<=X<2000,>=1000,1<=X<4,'male mar/wid',19<=X<29,skilled,good
'no checking','existing paid',education,0<=X<2000,<100,1<=X<4,'male single',29<=X<39,skilled,bad
'no checking','existing paid',radio/tv,2000<=X<4000,'no known savings',1<=X<4,'female div/sep/mar',19<=X<29,skilled,good
