Class,Age,Gender,Survived,Family
1st,adult,male,yes,1.0
1st,adult,male,yes,1.0
1st,adult,male,unkown,2.0
1st,adult,male,yes,3.0
1st,adult,male,yes,2.0
1st,adult,male,yes,2.0
1st,adult,male,yes,3.0
1st,adult,male,yes,4.0
1st,adult,male,yes,4.0
1st,adult,male,yes,40.0
1st,adult,male,yes,100.0
1st,adult,adult,yes,2.0
1st,adult,male,yes,2.0
1st,adult,male,yes,1.0
1st,adult,male,yes,1.0
1st,adult,male,yes,1.0
1st,adult,male,yes,1.0
1st,adult,male,yes,3.0
1st,adult,male,yes,3.0
1st,adult,male,yes,3.0
1st,adult,male,yes,3.0
1.0,adult,male,yes,4.0
1st,adult,male,yes,4.0
1st,adult,male,yes,
1st,adult,male,yes,
1st,adult,male,yes,2.0
1.0,adult,male,yes,2.0
1st,adult,male,yes,2.0
1st,adult,male,yes,2.0
1st,adult,male,yes,22.0
1st,adult,male,yes,2.0
1st,adult,male,yes,2.0
1st,adult,male,yes,2.0
1st,adult,male,yes,3.0
1st,adult,male,yes,3.0
1st,adult,male,yes,3.0
1st,adult,male,yes,44.0
1st,adult,male,yes,4.0
1st,adult,male,yes,4.0
1st,adult,male,yes,4.0
1st,adult,male,yes,1.0
1st,adult,male,yes,1.0
1st,adult,male,yes,11.0
1st,adult,male,yes,1.0
1st,adult,male,yes,
1st,adult,male,yes,1.0
1st,adult,male,yes,2.0
1st,adult,male,yes,3.0
1st,adult,yes,yes,4.0
1st,adult,male,yes,4.0
1st,adult,male,yes,3.0
1st,adult,male,yes,2.0
1st,adult,male,yes,1.0
1st,adult,male,yes,2.0
1st,adult,male,yes,111.0
1st,adult,male,yes,1.0
1st,adult,male,yes,1.0
1st,adult,male,no,1.0
1st,adult,male,no,1.0
1st,adult,male,2.0,1.0
1st,adult,male,no,11.0
1st,adult,male,no,1.0
1st,adult,male,no,2.0
1st,adult,male,no,2.0
1st,adult,male,no,222.0
1st,adult,male,no,2.0
1st,adult,male,no,2.0
1st,adult,male,no,2.0
1st,adult,male,no,2.0
1st,adult,male,no,2.0
1st,adult,male,no,2.0
1st,adult,male,no,2.0
1st,adult,male,no,2.0
1st,adult,male,no,2.0
1st,adult,male,no,2.0
1st,adult,male,no,2.0
1st,adult,male,no,22.0
1st,adult,male,2.0,1.0
1st,adult,male,no,2.0
1st,adult,male,no,3.0
,adult,male,no,3.0
1st,adult,male,no,3.0
1st,adult,male,no,2.0
1st,adult,male,no,2.0
1st,adult,male,no,2.0
1st,adult,male,no,1.0
1st,adult,male,no,1.0
1st,adult,male,no,1.0
1st,adult,male,no,3.0
1st,adult,male,no,3.0
1st,adult,male,no,3.0
1st,adult,male,no,3.0
1st,adult,male,no,2.0
1st,adult,male,no,2.0
1st,adult,no,no,2.0
1st,adult,male,2.0,yes
1st,adult,male,no,1.0
1st,adult,male,no,1.0
1st,adult,male,no,1.0
1st,adult,male,no,1.0
1st,adult,male,no,1.0
,adult,male,no,1.0
1st,adult,male,no,1.0
1st,adult,male,no,1.0
1st,adult,male,no,1.0
1st,adult,male,no,2.0
1st,adult,male,no,2.0
1st,adult,male,no,
1st,adult,male,no,
1st,adult,male,no,2.0
1st,adult,male,no,2.0
1st,adult,male,no,3.0
1st,adult,male,no,3.0
1st,adult,male,no,3.0
1st,adult,male,no,2.0
1st,adult,male,no,2.0
1st,adult,male,no,
1st,adult,male,no,1.0
1st,adult,male,no,1.0
1st,adult,male,no,1.0
male,adult,male,no,1.0
3rd,adult,male,no,1.0
3rd,adult,male,no,1.0
3rd,adult,male,no,1.0
3rd,adult,male,no,1.0
3rd,adult,male,no,1.0
3rd,adult,male,no,2.0
3rd,adult,male,no,2.0
3rd,adult,male,no,2.0
3rd,adult,male,no,2.0
3rd,adult,male,no,2.0
3rd,adult,male,no,2.0
3rd,adult,male,no,2.0
3rd,adult,male,no,2.0
3rd,adult,male,no,2.0
3rd,adult,male,no,2.0
3rd,adult,male,no,2.0
3rd,adult,male,2.0,2.0
3rd,adult,male,no,2.0
3rd,adult,male,no,3.0
3rd,adult,male,no,4.0
3rd,adult,male,no,3.0
3rd,adult,male,no,3.0
3rd,adult,male,no,3.0
3rd,adult,male,no,3.0
3rd,adult,male,no,3.0
3rd,adult,male,no,4.0
3rd,adult,male,no,4.0
3rd,adult,male,no,4.0
3rd,adult,male,no,4.0
3rd,adult,1.0,no,4.0
3rd,adult,male,no,4.0
3rd,adult,male,no,4.0
3rd,adult,male,no,4.0
3rd,adult,male,no,4.0
3rd,adult,male,no,4.0
3rd,adult,male,no,4.0
3rd,adult,male,no,4.0
3rd,adult,male,no,4.0
3rd,adult,male,no,4.0
3rd,adult,male,no,4.0
3rd,adult,male,no,4.0
3rd,adult,male,no,4.0
3rd,adult,male,no,3.0
3rd,adult,male,no,3.0
3rd,adult,male,no,3.0
3rd,adult,male,no,3.0
3rd,adult,male,2.0,3.0
3rd,adult,male,no,3.0
3rd,adult,male,no,3.0
3rd,adult,male,no,3.0
3rd,adult,male,no,3.0
3rd,adult,male,no,33.0
3rd,adult,male,no,2.0
3rd,adult,male,no,2.0
3rd,adult,female,yes,2.0
3rd,adult,female,yes,2.0
3rd,adult,female,yes,2.0
3rd,adult,female,yes,2.0
3rd,adult,female,yes,2.0
3rd,adult,female,yes,2.0
3rd,adult,female,yes,2.0
3rd,adult,female,yes,2.0
3rd,adult,female,yes,2.0
3rd,adult,female,yes,2.0
3rd,adult,female,no,2.0
3rd,adult,female,yes,2.0
3rd,adult,female,yes,2.0
3rd,adult,female,yes,2.0
1st,adult,female,yes,2.0
1st,adult,female,yes,2.0
1st,adult,female,yes,2.0
1st,adult,female,yes,no
3rd,adult,female,yes,no
3rd,adult,female,yes,2.0
3rd,adult,female,yes,2.0
3rd,adult,female,yes,2.0
3rd,adult,female,yes,2.0
3rd,adult,female,yes,2.0
3rd,adult,female,yes,2.0
3rd,adult,female,yes,1.0
2.0,adult,female,yes,1.0
3rd,adult,female,yes,1.0
3rd,adult,female,yes,1.0
3rd,adult,female,2.0,1.0
3rd,adult,female,yes,1.0
3rd,adult,unkown,yes,1.0
3rd,adult,female,yes,1.0
3rd,adult,female,yes,1.0
3rd,adult,female,yes,1.0
3rd,adult,female,yes,1.0
3rd,adult,female,yes,1.0
3rd,adult,female,yes,1.0
3rd,adult,female,yes,4.0
3rd,adult,female,yes,4.0
3rd,adult,female,yes,4.0
3rd,adult,female,yes,4.0
3rd,adult,female,yes,4.0
3rd,adult,female,yes,4.0
2nd,adult,female,yes,4.0
2nd,adult,female,yes,4.0
2nd,adult,female,yes,4.0
2nd,adult,female,yes,4.0
2nd,adult,female,yes,4.0
2nd,adult,female,yes,4.0
2nd,adult,female,yes,4.0
2nd,adult,female,yes,4.0
2nd,adult,2.0,yes,4.0
2.0,adult,female,yes,4.0
2nd,adult,female,yes,4.0
2nd,adult,female,yes,4.0
2nd,adult,female,yes,4.0
2nd,adult,female,yes,4.0
2nd,adult,female,yes,4.0
2nd,adult,female,yes,4.0
2nd,adult,female,yes,44.0
2nd,adult,female,yes,1.0
2nd,adult,female,yes,1.0
2nd,adult,female,yes,1.0
2nd,adult,female,yes,1.0
2nd,adult,female,yes,1.0
2nd,adult,female,yes,1.0
2nd,adult,female,yes,1.0
2nd,adult,female,yes,1.0
2nd,adult,female,yes,1.0
2nd,adult,female,yes,1.0
2nd,adult,female,yes,1.0
2nd,adult,female,yes,1.0
2nd,adult,female,yes,1.0
2nd,adult,female,yes,1.0
2nd,adult,female,yes,1.0
2nd,adult,female,yes,1.0
2nd,adult,female,yes,1.0
2nd,adult,female,yes,1.0
2nd,adult,female,yes,1.0
2nd,adult,2.0,yes,1.0
2nd,adult,female,yes,2.0
2nd,adult,female,yes,2.0
2nd,adult,female,yes,2.0
2nd,adult,female,yes,2.0
2nd,child,female,yes,2.0
2nd,child,female,yes,2.0
2nd,child,female,yes,2.0
2nd,child,female,yes,2.0
2nd,child,female,yes,2.0
2nd,child,female,yes,2.0
2nd,child,female,yes,2.0
2nd,child,female,yes,2.0
