@relation 'Road Accident Data, nominal'
@attribute 'Accident Year'{'Year 2000', 'Year 2001', 'Year 2002', 'Year 2003', 'Year 2004', 'Year 2005'}
@attribute 'Road Class' {Motorway, 'A(M)', A, B, C, Unclassified}
@attribute 'Speed Limit' {20, 30, 40, 50, 60, 70}
@attribute 'Junction Detail' {'Not a junction', Roundabout, 'Mini-roundabout', 'T,Y or staggered road', 'Slip road', Crossroads, 'Multiple juncion', 'Private drive or entrance', Other}
@attribute 'Day/Night?' {Day, Night}
@attribute 'Light Condition' {'lights lit', 'lights unlit', 'no lighting', 'lighting unknown'}
@attribute 'Weather Condition' {Fine, Raining, Snowing, 'Fog or mist', Other, Unknown}
@attribute 'High winds?' {Yes, No, Unknown}
@attribute 'Casualty Class' {'Driver or rider', Passenger, Pedestrian}
@attribute 'Sex of Casualty' {Male, Female}
@attribute 'Age of Casualty' real
@attribute 'Severity of Casualty' {Fatal, Serious}

@data
'Year 2000',A,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,29,Fatal
'Year 2000',B,40,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Male,12,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Raining,Yes,'Driver or rider',Male,31,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Raining,Yes,Passenger,Female,36,Serious
'Year 2000',A,60,'T,Y or staggered road',Day,'lights lit',Fine,No,Passenger,Female,69,Serious
'Year 2000',A,60,'Not a junction',Night,'no lighting',Snowing,No,'Driver or rider',Male,37.0,Fatal
'Year 2000',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Male,4,Fatal
'Year 2000',A,60,'Not a junction',Night,'no lighting',Raining,Yes,'Driver or rider',Male,24,Serious
'Year 2000',A,60,'Not a junction',Night,'no lighting',Raining,Yes,Passenger,Female,32,Serious
'Year 2000',A,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,52.0,Serious
'Year 2000',A,60,'Not a junction',Night,'no lighting',Fine,No,Passenger,Female,57,Serious
'Year 2000',A,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,44,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,20.0,Serious
'Year 2000',C,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,22.0,Fatal
