@relation 'Road Accident Data, numeric'
@attribute 'Accident Year' real
@attribute 'Road Class' {1,2,3,4,5,6}
@attribute 'Speed Limit' real
@attribute 'Junction Detail' {0,1,2,3,4,5,6,7,8,9}
@attribute 'Day/Night?' {1,2}
@attribute 'Light Condition' {1,2,3,4}
@attribute 'Weather Condition' {1,2,3,4,5,6}
@attribute 'High winds?' {1,2,3}
@attribute 'Casualty Class' {1,2,3}
@attribute 'Sex of Casualty' {1,2}
@attribute 'Age of Casualty' real
@attribute 'Severity of Casualty' {1,2}

@data
2000,3,60,0,2,3,1,2,1,1,29,1
2000,4,40,0,1,1,1,2,3,1,12,2
2000,3,60,0,1,3,2,1,1,1,31,2
2000,3,60,0,1,3,2,1,2,2,36,2
2000,3,60,3,1,1,1,2,2,2,69,2
2000,3,60,0,2,3,3,2,1,1,37.0,1
2000,6,30,0,1,1,1,2,3,1,4,1
2000,3,60,0,2,3,2,1,1,1,24,2
2000,3,60,0,2,3,2,1,2,2,32,2
2000,3,60,0,2,3,1,2,1,1,52.0,2
2000,3,60,0,2,3,1,2,2,2,57,2
2000,3,60,0,2,3,1,2,1,1,44,2
2000,3,60,0,1,3,1,2,1,1,20.0,2
2000,5,60,0,2,3,1,2,1,1,22.0,1
2000,6,30,0,1,3,1,2,3,1,63,2
2000,3,30,5,1,1,1,2,1,1,30,2
2000,3,30,0,1,1,1,2,3,2,17,2
2000,4,60,0,2,3,1,2,1,1,38.0,2
2000,4,60,0,2,3,1,2,2,2,38.0,2
2000,4,60,0,2,3,1,2,2,2,12,2
2000,4,60,0,2,3,1,2,2,2,9.0,2
2000,3,60,0,1,3,1,2,1,2,63,2
2000,3,60,0,1,3,1,2,2,2,20.0,2
2000,6,30,9,2,1,1,2,3,1,29,2
2000,3,60,0,1,3,1,2,1,2,30,2
2000,3,60,0,1,3,1,2,1,1,67,2
2000,3,60,0,1,3,1,2,2,2,67,2
2000,3,30,0,1,1,1,2,1,1,64,2
2000,3,60,0,1,3,2,2,1,1,18,2
2000,3,60,0,1,3,1,2,1,1,32,2
2000,3,60,0,1,3,2,2,1,1,22.0,2
2000,3,60,0,1,3,1,1,1,2,42,2
2000,3,60,0,1,3,1,2,1,1,27,2
2000,4,60,0,2,3,1,2,1,1,40,2
2000,4,60,0,2,3,1,2,2,1,31,1
2000,4,40,0,2,3,1,2,1,1,32,2
2000,3,60,0,1,3,1,2,1,1,53,2
2000,3,40,8,1,1,1,2,1,2,33,2
2000,6,60,0,1,3,1,2,1,1,33,2
2000,6,30,3,2,1,5,3,1,1,18,1
2000,6,60,0,1,3,1,2,1,2,31,2
2000,6,60,0,1,3,1,2,1,2,18,2
2000,3,60,0,1,3,2,2,1,1,30,2
2000,6,60,0,2,3,1,2,2,2,16,2
2000,6,60,0,1,3,2,2,1,1,21,2
2000,3,60,3,1,3,1,2,2,1,24,1
2000,4,30,3,1,1,1,2,3,1,7,2
2000,4,60,0,1,4,2,2,1,1,30,2
2000,3,60,0,2,3,6,3,1,1,69,1
2000,6,60,0,1,1,1,2,2,2,59,2
2000,4,60,3,1,1,1,2,1,2,33,2
2000,4,60,3,1,1,1,2,1,1,21,2
2000,3,60,9,1,3,1,2,1,2,28,2
2000,3,60,3,1,3,1,2,2,1,55,2
2000,3,60,3,1,3,1,2,1,2,21,2
2000,3,60,3,1,3,1,2,1,1,23,2
2000,3,30,3,1,1,1,2,1,2,80,2
2000,3,30,3,1,1,1,2,2,2,87,2
2000,4,40,0,2,1,1,2,1,1,37.0,1
2000,3,60,0,1,3,2,2,1,1,17,2
2000,3,60,0,1,3,2,2,1,1,43,2
2000,3,60,0,1,3,2,2,2,2,6,2
